,median,std,ci_2.5,ci_97.5
Text Survival,0.09154282984719868,0.04169499874316754,0.051100096559533306,0.22695616196456883
Witness Survival,0.0016825709600610443,0.012155075165771082,0.00012142439450702035,0.05201786044656312
