witness_ID;text_ID
Escorial, Real Biblioteca del Monasterio de San Lorenzo del Escorial, E I 13;Evangeliorum libri IV
Cambridge, Corpus Christi College, 223;corpus_prudentii
Durham, Cathedral Library (Dean and Chapter Library), B IV 9;corpus_prudentii
Milano, Biblioteca Ambrosiana, D 36 sup.;corpus_prudentii
Vaticano, Biblioteca Apostolica Vaticana, Reg. lat. 321;corpus_prudentii
Paris, Bibliotheque Nationale de France, lat. 8305;corpus_prudentii
Leiden, Bibliotheek der Rijksuniversiteit, Burm. Q 3;corpus_prudentii
Paris, Bibliotheque Nationale de France, lat. 8083;corpus_prudentii
Sankt Gallen, Stiftsbibliothek, 136 (olim 294);corpus_prudentii
Bern, Burgerbibliothek, 264;corpus_prudentii
Montecassino, Biblioteca del Monumento Nazionale di Monte Cassino, 374 (olim 403);corpus_prudentii
Oxford, Oriel College, 3;corpus_prudentii
Cambridge, Corpus Christi College, 23;corpus_prudentii
Vaticano, Biblioteca Apostolica Vaticana, Reg. lat. 2078;corpus_prudentii
Orleans, Bibliotheque Municipale, 307;corpus_prudentii
Manuscript_Praef_Op1;corpus_prudentii
Manuscript_Praef_Op2;corpus_prudentii
Manuscript_Praef_Op3;corpus_prudentii
Manuscript_Praef_Op4;corpus_prudentii
Manuscript_Praef_Op5;corpus_prudentii
Manuscript_Praef_Op6;corpus_prudentii
Manuscript_Praef_Op7;corpus_prudentii
Manuscript_Praef_Op8;corpus_prudentii
Manuscript_Praef_Op9;corpus_prudentii
Manuscript_Praef_Op10;corpus_prudentii
Manuscript_Praef_Op11;corpus_prudentii
Manuscript_Praef_Op12;corpus_prudentii
Manuscript_Praef_Op13;corpus_prudentii
Manuscript_Praef_Op14;corpus_prudentii
Manuscript_Praef_Op15;corpus_prudentii
Manuscript_Praef_Op16;corpus_prudentii
Manuscript_Praef_Op17;corpus_prudentii
Manuscript_Praef_Op18;corpus_prudentii
Manuscript_Praef_Op19;corpus_prudentii
Manuscript_Praef_Op20;corpus_prudentii
Manuscript_Praef_Op21;corpus_prudentii
Manuscript_Praef_Op22;corpus_prudentii
Manuscript_Praef_Op23;corpus_prudentii
Manuscript_Praef_Op24;corpus_prudentii
Manuscript_CorpusP_01;corpus_prudentii
Manuscript_CorpusP_02;corpus_prudentii
Manuscript_CorpusP_03;corpus_prudentii
Manuscript_CorpusP_04;corpus_prudentii
Manuscript_CorpusP_05;corpus_prudentii
Manuscript_CorpusP_06;corpus_prudentii
Manuscript_CorpusP_07;corpus_prudentii
Manuscript_CorpusP_08;corpus_prudentii
Manuscript_CorpusP_09;corpus_prudentii
Manuscript_CorpusP_10;corpus_prudentii
Manuscript_CorpusP_11;corpus_prudentii
