,median,std,ci_2.5,ci_97.5
Text Survival,0.19241654352922638,0.08346976042193334,0.17091786927861657,0.5665557846693193
Witness Survival,0.0017414627841796444,0.08581811960803823,0.0002552543946802783,0.3849486176658457
