,median,std,ci_2.5,ci_97.5
Story Richness,320.3473994731903,61.97309667786811,112.28151670098305,404.36304783821106
Text Richness,320.3473994731903,61.97309667786811,112.28151670098305,404.36304783821106
Witness Richness,465026.6496237397,745387.6396312058,1814.8370902885597,2551374.6675405707
