,median,std,ci_2.5,ci_97.5
Story Richness,308.57105350494385,54.87057059718255,187.00616738200188,410.7567528486252
Text Richness,308.57105350494385,54.87057059718255,187.00616738200188,410.7567528486252
Witness Richness,171034.6506334735,706965.3032796343,8192.371779708757,2543760.642232537
