,median,std,ci_2.5,ci_97.5
Text Survival,0.2008304588946658,0.03624852749009065,0.1718551461193983,0.31775506368219
Witness Survival,0.004765137880475011,0.024526706714196145,0.0002782679749609173,0.09308498552057891
